city,date,wfo,high_point_f,high_range_low_f,high_range_high_f,forecast_high_f,observed_high_f,signed_error_f,abs_error_f,bust_flag,confidence_word,model_disagreement_mentioned,model_disagreement_direction,forecaster_lean,timing_critical,observational_anchor,revised_from_previous,n_uncertainty_phrases,n_bust_risk_words,n_synoptic_drivers,synoptic_drivers,drivers_normalized,key_quote,extraction_failed
AUS,2026-05-07,EWX,,60,79,69.5,69.0,0.5,0.5,0,,False,,cooler_than_guidance,False,False,False,0,1,3,southwesterly flow aloft|isentropic lift|frontal boundary,frontal,think that clouds will be hard to break today and temperatures will remain on the cooler side of guidance.,False
AUS,2026-05-08,EWX,,85,89,87.0,81.0,6.0,6.0,1,,False,,none_mentioned,False,False,False,0,0,2,closed low at 500mb|northwest flow aloft,upper_low,"We should actually get some decent breaks in clouds on Saturday afternoon and surface temperatures should respond accordingly, warming into the mid to upper 80s.",False
AUS,2026-05-09,EWX,,,,,89.0,,,,,False,,none_mentioned,False,False,True,0,0,3,southwest flow aloft|low clouds in the morning|afternoon clouds,marine_layer,"Southwest flow aloft will continue into Saturday, so low clouds in the morning and continued afternoon clouds can be expected.",False
AUS,2026-05-10,EWX,,85,95,90.0,91.0,-1.0,1.0,0,,False,,none_mentioned,False,False,False,0,0,4,upper level short wave|surface low pressure|dry-line|cold front,frontal,Sunday's highs are forecast to reach the upper 80s across the Hill Country and portions of the southern Edwards Plateau to low and mid 90s over the rest of the local area,False
AUS,2026-05-11,EWX,,77,85,81.0,82.0,-1.0,1.0,0,,False,,none_mentioned,False,False,False,0,0,3,cold front passage|high pressure system|northerly winds,frontal,Dry and cool temperatures are in store for Monday afternoon with highs in the upper 70s to mid 80s.,False
AUS,2026-05-12,EWX,,,,,84.0,,,,,False,,none_mentioned,False,False,False,0,0,1,upper level ridge pattern,ridge,An upper level ridge pattern across the four corners region into the southern Plains keeps the local area dry for the next couple of days.,False
AUS,2026-05-13,EWX,,85,93,89.0,90.0,-1.0,1.0,0,,False,,none_mentioned,False,False,False,0,2,4,high amplitude mid level ridge|return flow winds|northerly wind funneling dry mid level air|surface pressure gradient tightening,ridge,"So we could see a healthy jump in high temperatures today and Thursday, but only slow daily progress of dew point temperatures",False
AUS,2026-05-14,EWX,,,,,90.0,,,,,False,,warmer_than_guidance,False,True,False,0,0,3,mid to upper level ridge axis|anticyclonic wind circulation|large mid-level dry layer,ridge,with good mixing and ridging overhead our high temperatures today should get about a 1 to 3 degree bump over yesterday's MaxT values.,False
AUS,2026-05-15,EWX,,,,,90.0,,,,,False,,none_mentioned,False,False,False,0,0,3,low amplitude ridging|SW flow aloft pattern|gusty south breeze,,the warm conditions for the afternoon will carry a higher humidity and heat index. They will be somewhat typical for a mid May afternoon Friday,False
AUS,2026-05-16,EWX,,,,,91.0,,,,,False,,none_mentioned,False,False,False,0,1,3,strong south breezes|dry air layer|increased moisture,dry_air|moist_air,Todays heat indices may still get a small amount of relief from the dry air layer mainly in the 850-700 mb layer helping to mix down some lower surface dew points this afternoon.,False
AUS,2026-05-17,EWX,,90,95,92.5,89.0,3.5,3.5,0,,False,,none_mentioned,False,False,False,1,3,3,strong southerly flow|upper level short wave|increased moisture,moist_air,Expect another warm day for today with many topping out in the low 90s under mostly cloudy skies to perhaps mid 90s,False
AUS,2026-05-18,EWX,,90,99,94.5,92.0,2.5,2.5,0,,False,,none_mentioned,True,False,False,1,1,3,moisture remains strewn across the area|southwest flow aloft|southerly flow at the surface,moist_air,Highs should generally top out in the low 90s north and upper 90s south.,False
LAX,2026-02-08,LOX,,75,83,79.0,82.0,-3.0,3.0,0,,False,,none_mentioned,False,False,False,0,0,2,ridge nosing in|offshore flow,ridge,Chamber of Commerce day on tap for today with a ridge nosing in from the west bringing 580 dam hgts and 2 to 4 mb of offshore flow at the sfc.,False
LAX,2026-02-09,LOX,,,,,77.0,,,,,False,,none_mentioned,False,False,False,0,0,3,approaching trof|offshore flow|westerly flow,,Max temps will cool 3 to 6 locally 8 degrees today with most cst vly temps in the upper 60s and 70s.,False
LAX,2026-02-10,LOX,,60,69,64.5,65.0,-0.5,0.5,0,,False,,none_mentioned,False,False,False,0,0,3,near zonal flow|abundance of mid and high clouds|onshore flow,marine_layer,Max temps will plummet 6 to 12 degrees and will mostly end up in the mid 60s.,False
LAX,2026-02-11,LOX,,60,63,61.5,64.0,-2.5,2.5,0,,False,,none_mentioned,False,True,False,0,1,3,weaker vort lobe|NVA|pos tilt trof,,with the rain and clouds max temps will only reach the lower 60s.,False
LAX,2026-02-12,LOX,,60,75,67.5,64.0,3.5,3.5,0,,False,,none_mentioned,False,False,False,0,0,3,upper low|offshore flow|high pressure aloft,upper_low,But for the most part dry and warmer weather is expected today and continuing through at least Saturday.,False
LAX,2026-02-13,LOX,,75,75,75.0,68.0,7.0,7.0,1,,False,,none_mentioned,False,False,False,0,0,3,light offshore flow|ample sunshine|high pressure aloft,,"Today will be the warmest day for quite some time as light offshore flow, ample sunshine, and high pressure aloft combine to push temperatures to the mid 70s",False
LAX,2026-02-14,LOX,,60,69,64.5,68.0,-3.5,3.5,0,,False,,none_mentioned,False,False,False,0,0,3,ridge pushing east|onshore flow|weak eddy,marine_layer|ridge,Max temps will cool into the 60s and the values will be near season norms.,False
LAX,2026-02-15,LOX,,60,65,62.5,63.0,-0.5,0.5,0,,False,,none_mentioned,False,False,False,0,0,3,upper low|strong SW flow|onshore flow,marine_layer|upper_low,Max temps will only end up in the lower to mid 60s or about 3 to 6 degrees blo normal.,False
LAX,2026-02-16,LOX,,,,,58.0,,,,,False,,none_mentioned,True,False,False,0,0,3,540 dam upper low|frontal passage|low level jet energy,frontal|low_level_jet|upper_low,Its go time for today's potent storm.,False
LAX,2026-02-17,LOX,,55,60,57.5,60.0,-2.5,2.5,0,,False,,none_mentioned,False,False,False,0,1,4,upper low|vigorous trof|500mb jet|strong LAX-SFO gradient,upper_low,A cool one too with most max temps in the mid to upper 50s with just a smattering of 60 degree readings.,False
LAX,2026-02-18,LOX,,50,59,54.5,58.0,-3.5,3.5,0,,False,,none_mentioned,False,False,False,0,0,1,breezy west to northwest winds,,Afternoon high temperatures will mostly be in the 50s through Thursday.,False
LAX,2026-02-19,LOX,,,,,58.0,,,,,False,,none_mentioned,False,False,True,2,1,4,storm system|frontal boundary|diffluence aloft|cold air mass,frontal,A storm system will bring a cold and brisk day today.,False
LAX,2026-02-20,LOX,,,,,58.0,,,,,False,,none_mentioned,False,False,False,0,0,2,cold northwest flow|post-storm system,,"A cold northwest flow is moving over Southwest California this evening, in the wake of today's storm system.",False
LAX,2026-02-21,LOX,,,,,69.0,,,,,False,,none_mentioned,False,True,False,0,0,2,ridging aloft|cold air mass,,Temperatures will start to warm today as the ridge aloft starts to modify the air mass. Temperatures will warm to just below normal today,False
LAX,2026-02-22,LOX,,65,75,70.0,69.0,1.0,1.0,0,,False,,none_mentioned,False,False,False,0,1,2,high pressure building in|weak offshore flow,,High pressure building in and weak offshore flow will combine today to bring sunny skies and 4 to 8 degrees of warming.,False
LAX,2026-02-23,LOX,,70,89,79.5,74.0,5.5,5.5,1,,False,,none_mentioned,False,False,False,0,0,2,persistent ridge|offshore flow,ridge,Max temps will end up in the 70s across the csts and the 80s in the vlys.,False
LAX,2026-02-24,LOX,,,,,76.0,,,,,False,,none_mentioned,False,False,False,0,0,3,upper ridge|offshore flow|compressional warming,ridge,High temperatures today will be 8 to 12 degrees above normal.,False
LAX,2026-02-25,LOX,,70,79,74.5,70.0,4.5,4.5,0,,False,,none_mentioned,False,False,False,0,1,3,upper high|offshore flow|ridge,ridge,Max temps will not change much from ydy and will mostly be in the 70s.,False
LAX,2026-02-26,LOX,,80,89,84.5,73.0,11.5,11.5,1,,False,,none_mentioned,False,True,False,0,0,3,ridge of high pressure|offshore flow|north winds,ridge,The higher than normal hgts will combine with the offshore flow and max temps will jump 3 to 6 degrees across the LA/VTA csts and vlys.,False
LAX,2026-02-27,LOX,,80,95,87.5,86.0,1.5,1.5,0,,False,,none_mentioned,False,False,False,0,0,3,high pressure aloft|offshore flow|gusty north winds,,"High pressure aloft with locally gusty north winds will result in very warm temperatures today, with some record highs likely.",False
LAX,2026-02-28,LOX,,75,82,78.5,79.0,-0.5,0.5,0,,False,,none_mentioned,False,False,False,0,0,3,flattening ridge|onshore flow|downsloping flow,marine_layer|ridge,"As a result, highs at the coasts will cool by several degrees, with highs topping out in the mid 70’s to low 80’s.",False
LAX,2026-03-01,LOX,,,,,78.0,,,,,False,,none_mentioned,False,False,False,1,1,3,upper level trough|offshore flow|marine inversion,inversion|trough,"This trough will help facilitate a fairly dramatic cooldown region-wide, with further cooling occurring Monday as the trough moves through the state.",False
LAX,2026-03-02,LOX,,65,75,70.0,65.0,5.0,5.0,1,,False,,none_mentioned,False,False,False,0,0,2,weak trough|marine layer lifting,marine_layer|trough,"While temperatures will decrease another 5-10 degrees today, dipping into the upper 60s to mid 70s for most of the region",False
LAX,2026-03-03,LOX,,70,82,76.0,67.0,9.0,9.0,1,low,False,,none_mentioned,False,True,False,1,1,2,Weak ridging|Santa Ana and Santa Lucia wind event,downslope,Weak ridging and a sub-advisory Santa Ana and Santa Lucia wind event (25-40 mph) will elevate temperatures region wide today,False
LAX,2026-03-04,LOX,,,,,65.0,,,,,False,,none_mentioned,False,False,False,0,0,2,trough passage|northerly wind event,trough,"The trough that we have been writing about for days will swing through Northern California today, diving to the southeast and working its way into the Great Basin by Thursday.",False
LAX,2026-03-05,LOX,,,,,76.0,,,,,False,,none_mentioned,False,False,False,0,0,3,northerly wind event|upper level trough|subsidence,ridge|trough,A moderate to strong northerly wind event will impact the region through today,False
LAX,2026-03-06,LOX,,70,82,76.0,73.0,3.0,3.0,0,,False,,none_mentioned,False,False,False,1,1,4,Santa Ana winds|offshore flow|rising hgts|northerly gradients,downslope,Most areas will see a few degrees of warming (perhaps not as much as one might expect as there is quite a bit of cool air left over),False
LAX,2026-03-07,LOX,,70,89,79.5,78.0,1.5,1.5,0,,False,,none_mentioned,False,False,False,0,2,4,upper low retrograding|NE winds aloft|offshore sfc flow|cool air advection,upper_low,Max temps will not warm as much as perhaps one would expect as there will be quite a bit of cool air advection.,False
LAX,2026-03-08,LOX,,80,95,87.5,88.0,-0.5,0.5,0,,False,,none_mentioned,False,False,False,0,0,4,Santa Ana winds|downslope warming|offshore flow|upper level winds,downslope,Max temps will actually be the main talking point today as the downslope warming and lack of significant cool air advection from the interior will bring 6 to 12 locally 15 degrees of warming to the entire area today.,False
LAX,2026-03-09,LOX,,,,,70.0,,,,,False,,none_mentioned,False,False,False,0,0,4,coastal eddy|southeast flow|sea breeze|upper low,marine_layer|upper_low,Much cooler conditions are expected today as a coastal eddy brings southeast flow to the area.,False
LAX,2026-03-10,LOX,,,,,67.0,,,,,False,,none_mentioned,False,False,False,0,0,2,onshore flow|high pressure aloft,marine_layer,"So one more day of mild temperatures before the heat returns, but this time even warmer than this last weekend.",False
LAX,2026-03-11,LOX,,90,99,94.5,67.0,27.5,27.5,1,,False,,none_mentioned,False,False,False,0,1,4,500mb heights near 590dam|thicknesses near 575dam|offshore flow|950 temps approaching 30c,,"the combination of 500mb heights near 590dam, thicknesses near 575dam, the offshore flow, and 950 temps approaching 30c will lead to widespread temperatures in the 90s",False
LAX,2026-03-12,LOX,,88,95,91.5,84.0,7.5,7.5,1,,False,,none_mentioned,False,False,False,0,0,3,upper high|offshore flow|clear skies,,"The offshore flow, sunny skies and near record hgts will all combine to bring 10 to 15 degrees of warming to the csts and vlys",False
LAX,2026-03-13,LOX,,80,95,87.5,88.0,-0.5,0.5,0,,False,,none_mentioned,False,False,False,0,0,3,upper high|offshore flow|Srn CA,,An upper high to the SW will bring 586 dam hgts to the area and this along with offshore flow from both the east and north will bring max temps up into the 80s across the coasts and lower to mid 90s in the vlys.,False
LAX,2026-03-14,LOX,,75,85,80.0,79.0,1.0,1.0,0,,False,,none_mentioned,False,False,False,0,1,3,onshore flow|high clouds|flattened upper level high,marine_layer,All and all these items will combine to bring 4 to 8 locally 10 degrees of cooling to the area today.,False
LAX,2026-03-15,LOX,,,,,69.0,,,,,False,,none_mentioned,False,False,False,0,0,0,,,"A significant heat wave will kick off today, peak next Tuesday and Wednesday, and then continue through Friday.",False
LAX,2026-03-16,LOX,,80,95,87.5,71.0,16.5,16.5,1,,False,,none_mentioned,False,False,False,0,0,3,very strong high pressure|strengthening 588-594 dam heights|weak diurnal flow,,"Today, temperatures will climb into the 80s to mid 90s for all areas. These temperatures will be 15-30 degrees above normal for this time of year.",False
LAX,2026-03-17,LOX,,95,103,99.0,92.0,7.0,7.0,1,,False,,none_mentioned,True,False,False,1,1,2,strong upper level high pressure|light offshore flow,,"High temperatures this week will will climb into the mid 90s to low 100s today through Friday, with minimal day to day changes",False
LAX,2026-03-18,LOX,,90,104,97.0,82.0,15.0,15.0,1,,False,,none_mentioned,False,False,False,0,0,2,record breaking high pressure|onshore trends,,"While today will see an increase in onshore trends, which will allow the coastal temperatures to decrease a few degrees (but remaining near the 80s and 90s), valleys and mountains will continue to be around 90-104 degrees through Friday.",False
LAX,2026-03-19,LOX,,90,106,98.0,83.0,15.0,15.0,1,,False,,none_mentioned,True,True,False,1,2,3,marine layer clouds|SBA to SAN pressure gradient|strong inversion,inversion|marine_layer,"If the marine layer clouds continue to roll into the region and spread into the coastal locations, temperatures will be about 5 degrees lower than forecast.",False
LAX,2026-03-20,LOX,,90,,,85.0,,,,,False,,none_mentioned,False,False,False,0,1,4,upper high|weak offshore flow|weak onshore flow|diurnal cycle,marine_layer,"Max temps will end up ""only"" 10 to 20 degrees above normal with the warmest vlys seeing highs in the lower 90s.",False
LAX,2026-03-21,LOX,,,,,74.0,,,,,False,,none_mentioned,False,False,False,1,1,3,flattening ridge|onshore flow|falling hgts,marine_layer|ridge,The big news is that the onshore flow and falling hgts will lead to 8 to 12 degrees of cooling.,False
LAX,2026-03-22,LOX,,80,93,86.5,70.0,16.5,16.5,1,,False,,none_mentioned,False,True,False,0,0,3,marine layer|offshore flow|upper high,marine_layer,Max temps will mostly be in the 80s across the csts and the lower 90s in the vlys.,False
LAX,2026-03-23,LOX,,80,93,86.5,71.0,15.5,15.5,1,low,False,,blended,False,False,False,1,1,4,upper high|WSW flow|onshore flow|offshore push,marine_layer,South of Pt Conception there will be 5 to 10 degrees of warming with less confidence across the nearshore area where the marine air could limit warming,False
LAX,2026-03-24,LOX,,,,,70.0,,,,,False,,none_mentioned,False,False,False,0,1,4,ridging|offshore flow|marine layer|weak and dry trof,marine_layer,Max temps remain many degrees above normal away from the csts.,False
LAX,2026-03-25,LOX,,,,,68.0,,,,,True,cooler,none_mentioned,False,False,False,2,1,4,marine layer|onshore flow|offshore flow|upper high,marine_layer,Max temps will be very similar to ydy's values except for the Central Coast where weaker offshore flow will bring an earlier seabreeze and 10 to 15 degrees of cooling.,False
LAX,2026-03-26,LOX,,70,99,84.5,73.0,11.5,11.5,1,,False,,none_mentioned,False,False,False,0,0,4,marine layer|weak high pressure aloft|light offshore flow|downslope warming,downslope|marine_layer,"High temperatures today will be in the 70s to 80s, with the interior/warmest valleys warming up a tiny bit and pushing into the 90s.",False
LAX,2026-03-27,LOX,,,,,71.0,,,,,False,,none_mentioned,False,True,False,0,0,3,upper level high|marine influence|onshore pressure gradients,,afternoon high temperatures will remain noticeably above seasonal normals.,False
LAX,2026-03-28,LOX,,,,,68.0,,,,,False,,none_mentioned,False,False,False,0,0,3,upper level high pressure|onshore flow|marine layer,marine_layer,warm conditions will persist through Sunday with temperatures away from the coast still remaining around 10-20 degrees above normal while the marine layer influence will keep coastal areas cooler.,False
LAX,2026-03-29,LOX,,80,92,86.0,73.0,13.0,13.0,1,low,False,,none_mentioned,False,True,True,2,1,2,high pressure aloft|marine layer,marine_layer,"High temperatures in the 80s to lower 90s will be common inland of the beaches on Sunday, which is 10 to 20 degrees above normal",False
LAX,2026-03-30,LOX,,60,79,69.5,70.0,-0.5,0.5,0,,False,,none_mentioned,False,True,False,0,1,3,upper level ridge flattening|onshore flow|high clouds,marine_layer|ridge,Quite a significant cool down is on tap for today as the upper level ridge flattens out and onshore flow becomes more pronounced region wide.,False
LAX,2026-03-31,LOX,,,,,69.0,,,,,False,,none_mentioned,False,False,False,0,0,4,onshore flow|marine layer|weak trof|cloudy skies,marine_layer,"the combination of onshore flow, falling hgts and cloudy skies will cool the vlys 4 to 8 degrees and the mtns and interior by 8 to 12 degrees.",False
LAX,2026-04-01,LOX,,60,69,64.5,68.0,-3.5,3.5,0,,False,,cooler_than_guidance,False,False,True,0,1,3,cold front passage|post frontal trof|clearing skies,frontal|post_frontal,The front will bring in a little more cool air than was expected ydy and max temps will fall 2 to 4 degrees despite additional afternoon sunshine.,False
LAX,2026-04-02,LOX,,65,72,68.5,68.0,0.5,0.5,0,,False,,none_mentioned,False,False,False,0,0,2,brisk NW flow|onshore push,,The csts/vlys will warm some today with the added sunshine and highs will end up in the mid 60s to lower 70s.,False
LAX,2026-04-03,LOX,,75,82,78.5,78.0,0.5,0.5,0,,False,,none_mentioned,False,False,False,0,0,3,Santa Ana winds|offshore flow|approaching ridge,downslope|ridge,The offshore flow will combine with rising hgts from an approaching ridge to bring 8 to 12 degrees of warming to the csts and vlys,False
LAX,2026-04-04,LOX,,80,89,84.5,87.0,-2.5,2.5,0,,False,,none_mentioned,False,False,False,0,0,3,weakening cold air advection|high pressure building aloft|onshore push,cold_advection,"As for temperatures, the hottest day of the short term will be today, under weakening cold air advection and high pressure building aloft.",False
LAX,2026-04-05,LOX,,,,,78.0,,,,,False,,none_mentioned,False,False,False,0,1,3,onshore flow|weak cyclonic flow aloft|eddy,marine_layer,Most max temps today will end up about 12 degrees above normals.,False
LAX,2026-04-06,LOX,,,,,78.0,,,,,False,,none_mentioned,False,True,False,0,0,3,weak upper trough|increasing onshore flow|low clouds and fog,marine_layer|trough,Most coast and valleys will drop at least 3-6 degrees from yesterday's highs and near the beaches the drop could be as much as 10 degrees.,False
LAX,2026-04-07,LOX,,,,,70.0,,,,,False,,none_mentioned,False,False,False,0,0,2,onshore trends|high pressure over California,,"Onshore trends again today will result in 1-3 degrees of additional cooling in most areas, though highs will still be 4-8 degrees above normal",False
LAX,2026-04-08,LOX,,,,,71.0,,,,,False,,warmer_than_guidance,False,False,False,0,0,2,upper level ridge|northerly offshore flow,ridge,These hgts and the northerly offshore flow will team up to bring 2 to 4 degrees of warming to most areas.,False
LAX,2026-04-09,LOX,,,,,72.0,,,,,False,,none_mentioned,True,False,False,0,0,4,upper low|onshore flow|marine layer stratus|7 mb onshore push,marine_layer|upper_low,Lowering hgts and stronger onshore flow will combine to cool the csts by 2 to 4 degrees; the vlys by 3 to 6 and the mtns and far interior by 5 to 10 degrees.,False
LAX,2026-04-10,LOX,,,,,67.0,,,,,False,,none_mentioned,False,False,False,0,1,4,upper high|front passage|onshore flow|cloudy skies,frontal|marine_layer,Today's max temps will mostly be 4 to 6 degrees blo normal.,False
LAX,2026-04-11,LOX,,65,69,67.0,69.0,-2.0,2.0,0,,False,,none_mentioned,False,False,False,0,0,1,cool air funneling in behind ydy's front,frontal,Max temps will cool 1 to 3 degrees due to the cool air funneling in behind ydy's front. Max temps across the csts/vlys will mostly be in the mid to upper 60s.,False
LAX,2026-04-12,LOX,,,,,69.0,,,,,False,,none_mentioned,True,True,False,0,0,3,cold front passage|low level jet|warm sector,frontal|low_level_jet,The front will usher in a grip of cool air and as a result max temps will,False
LAX,2026-04-13,LOX,,,,,66.0,,,,,False,,none_mentioned,False,False,False,0,0,4,weak impulse|trof|low level heating|cold air advection,cold_advection,The sunshine will overwhelm the cold air advection and max temps will rise 1 to 3 locally 4 or 5 degrees over most areas.,False
LAX,2026-04-14,LOX,,68,75,71.5,69.0,2.5,2.5,0,,False,,none_mentioned,False,False,False,0,0,4,rising hgts|weak ridge|weak onshore flow|weak offshore flow,marine_layer|ridge,Plenty of sunshine and rising hgts will bring 3 to 6 locally 8 degrees of warming to the area today.,False
LAX,2026-04-15,LOX,,70,83,76.5,70.0,6.5,6.5,1,low,False,,none_mentioned,False,False,False,2,2,3,weak ridge|weak offshore flow|onshore flow,marine_layer|ridge,Max temps will not change too much and will end up a few degrees blo normal.,False
LAX,2026-04-16,LOX,,77,85,81.0,70.0,11.0,11.0,1,,False,,none_mentioned,False,False,False,1,1,3,northerly winds|downslope warming|offshore winds,downslope,The northerly winds will create some downslope warming across the coast and valleys today leading to 2-4 degrees of warming today.,False
LAX,2026-04-17,LOX,,,,,73.0,,,,,False,,none_mentioned,False,False,False,0,0,3,offshore flow|NW flow aloft|increasing pressure gradients,,"Temps will increase significantly S and W of the mtns today thanks to the offshore flow, where temps should be about 5-15 deg above normal",False
LAX,2026-04-18,LOX,,77,85,81.0,76.0,5.0,5.0,1,,False,,none_mentioned,False,False,False,1,1,2,Santa Ana Winds|warmer airmass aloft,downslope,"Another warm day is expected today, with temperatures increasing by a few degrees compared to yesterday, though high clouds in the area may somewhat moderate daytime heating.",False
LAX,2026-04-19,LOX,,70,79,74.5,72.0,2.5,2.5,0,,False,,none_mentioned,False,False,False,0,0,1,onshore winds,,"Benign weather is expected today and Monday, with most highs in the 70s each day.",False
LAX,2026-04-20,LOX,,,,,70.0,,,,,False,,none_mentioned,False,True,False,0,0,2,cutoff low|onshore flow,marine_layer|upper_low,A cooling trend will continue through mid week as an approaching storm brings a return to onshore flow.,False
LAX,2026-04-21,LOX,,,,,70.0,,,,,False,,none_mentioned,False,False,False,0,0,2,moderate late season storm|frontal boundary,frontal,Much cooler weather is on tap through Wednesday.,False
LAX,2026-04-22,LOX,,,,,67.0,,,,,False,,none_mentioned,False,False,False,0,0,3,westerly winds aloft|extra sunshine|enhanced sea breeze,marine_layer,Most areas will see a few degrees of warming today due to the extra sunshine. The Central Coast will be the exception where the enhanced sea breeze will bring a few degrees of cooling.,False
LAX,2026-04-23,LOX,,70,81,75.5,72.0,3.5,3.5,0,,False,,none_mentioned,False,False,False,0,0,2,weak ridging|weak offshore flow,,The main effect of the ridge and offshore flow will be the creation of a noticeable warming trend.,False
LAX,2026-04-24,LOX,,,,,74.0,,,,,False,,none_mentioned,False,False,False,0,1,3,flat westerly flow|increasing onshore flow|sea breeze,marine_layer,"Temperatures will be near normal today, with a cooling trend over the weekend as a weak storm crosses the area.",False
LAX,2026-04-25,LOX,,60,69,64.5,66.0,-1.5,1.5,0,,False,,none_mentioned,False,False,False,0,0,3,upper low|low mid and high clouds|gusty SW winds,upper_low,5 to 10 degrees of cooling will bring max temps across the csts/vlys down into the 60s.,False
LAX,2026-04-26,LOX,,65,69,67.0,66.0,1.0,1.0,0,,False,,none_mentioned,False,False,False,0,0,3,trof heading east|low heights|westerly flow,,As a result max temps will end up 5 to 10 degrees blo normal and only in the mid and upper 60s across the csts/vlys.,False
LAX,2026-04-27,LOX,,,,,66.0,,,,,True,cooler,none_mentioned,False,False,False,1,1,3,weak troffing|onshore flow|slight hgt rises,marine_layer,A little extra sunshine and slight hgt rises will allow for 1 to 2 degrees of warming over most of the area today.,False
LAX,2026-04-28,LOX,,,,,69.0,,,,,False,,none_mentioned,True,False,True,0,1,4,cyclonic westerly flow|col area|weak offshore flow|onshore push,,The earlier forecast of weak upper low on Wednesday has not panned out and now the area will be under a col area,False
